,score,labe
0,198.2300262451172,0
1,137.90020751953125,0
2,258.2021789550781,0
3,138.7999267578125,0
4,177.91897583007812,0
5,189.0977325439453,0
6,295.35308837890625,0
7,133.8837432861328,0
8,178.99826049804688,0
9,150.3649139404297,0
10,117.7419662475586,0
11,220.76373291015625,0
12,166.1231689453125,0
13,142.77438354492188,0
14,146.3016357421875,0
15,120.07829284667969,0
16,168.95040893554688,0
17,191.34579467773438,0
18,128.1937255859375,0
19,124.11835479736328,0
20,169.58370971679688,0
21,130.0961456298828,0
22,135.6549530029297,0
23,155.8625030517578,0
24,204.349365234375,0
25,191.50083923339844,0
26,192.5264892578125,0
27,125.7879638671875,0
28,252.96533203125,0
29,119.53397369384766,0
30,160.20668029785156,0
31,124.15572357177734,0
32,169.7695770263672,0
33,145.35391235351562,0
34,127.84869384765625,0
35,199.23997497558594,0
36,129.2978057861328,0
37,178.66355895996094,0
38,117.6785888671875,0
39,120.99432373046875,0
40,125.83045196533203,0
41,222.0084686279297,0
42,167.7602996826172,0
43,133.689697265625,0
44,154.92868041992188,0
45,158.53196716308594,0
46,151.82752990722656,0
47,218.6704864501953,0
48,164.55056762695312,0
49,132.84097290039062,0
50,134.66114807128906,0
51,174.44338989257812,0
52,193.0246124267578,0
53,136.09649658203125,0
54,137.75099182128906,0
55,242.29818725585938,0
56,212.2604217529297,0
57,138.86260986328125,0
58,142.40835571289062,0
59,131.4619140625,0
60,125.83525085449219,0
61,196.4720916748047,0
62,195.08255004882812,0
63,173.47067260742188,0
64,287.2037048339844,0
65,196.6913604736328,0
66,159.29281616210938,0
67,131.33119201660156,0
68,122.14347839355469,0
69,278.5235595703125,0
70,124.50971221923828,0
71,121.09428405761719,0
72,130.58758544921875,0
73,230.08534240722656,0
74,125.07470703125,0
75,128.69448852539062,0
76,134.12339782714844,0
77,141.14007568359375,0
78,128.30453491210938,0
79,151.46401977539062,0
80,220.5034637451172,0
81,114.65706634521484,0
82,128.8746337890625,0
83,148.12803649902344,0
84,119.13558959960938,0
85,187.60018920898438,0
86,109.41199493408203,0
87,112.95852661132812,0
88,137.5442352294922,0
89,124.72986602783203,0
90,134.58612060546875,0
91,148.15081787109375,0
92,146.64828491210938,0
93,190.96405029296875,0
94,164.01219177246094,0
95,118.08447265625,0
96,125.25003814697266,0
97,158.64022827148438,0
98,121.85667419433594,0
99,130.1341094970703,0
100,111.06610107421875,0
101,143.625,0
102,130.2364044189453,0
103,152.02247619628906,0
104,215.10916137695312,0
105,132.12051391601562,0
106,129.84678649902344,0
107,209.89630126953125,0
108,150.12754821777344,0
109,180.97055053710938,0
110,119.75593566894531,0
111,151.6424560546875,0
112,154.440185546875,0
113,144.95362854003906,0
114,158.36856079101562,0
115,128.95008850097656,0
116,109.30490112304688,0
117,289.5721130371094,0
118,119.26947021484375,0
119,118.36934661865234,0
120,161.19515991210938,0
121,117.23004150390625,0
122,200.39190673828125,0
123,107.16818237304688,0
124,126.42352294921875,0
125,117.20816802978516,0
126,137.2755584716797,0
127,131.38047790527344,0
128,138.24090576171875,0
129,155.41246032714844,0
130,127.04288482666016,0
131,133.4461669921875,0
132,123.26095581054688,0
133,900.03515625,0
134,127.13591003417969,0
135,131.86231994628906,0
136,243.10597229003906,0
137,142.52589416503906,0
138,155.23838806152344,0
139,121.17758178710938,0
140,119.20584106445312,0
141,217.896728515625,0
142,161.9940643310547,0
143,116.73031616210938,0
144,139.58102416992188,0
145,151.33802795410156,0
146,120.44384002685547,0
147,136.97740173339844,0
148,144.17318725585938,0
149,155.7188262939453,0
150,145.5303955078125,0
151,129.8011016845703,0
152,156.22885131835938,0
153,217.84735107421875,0
154,158.09156799316406,0
155,147.79443359375,0
156,133.24964904785156,0
157,179.7677001953125,0
158,167.93466186523438,0
159,114.29216766357422,0
160,127.68653869628906,0
161,275.6388854980469,0
162,130.55348205566406,0
163,235.5372314453125,0
164,118.07193756103516,0
165,182.5117645263672,0
166,127.72994232177734,0
167,128.8860321044922,0
168,130.309814453125,0
169,115.22067260742188,0
170,152.3803253173828,0
171,118.54930877685547,0
